Item,Price
Агат,"650
"
Агатовый кулон,"400
"
Аквамарин,"800
"
Алаитское ожерелье,"19999
"
Алмаз,"25000
"
Альфа-бур,"3600
"
Амальгама,"1199
"
Аметист,"6850
"
Анкх,"1500
"
Белая глина,"389
"
Белая жемчужина,"1000
"
Белая трава,"100
"
Белое перо,
Белок,
Белый гриб,"2500
"
Белый песок,"350
"
Бледная поганка,
Болт,"900
"
Брюшко филлера,"450
"
Бубен,"16290
"
Ветвь энта,"470
"
Ветка шипованного куста,"240
"
Ветки тростника,"600
"
Волчий клык,
Волшебное зеркальце,
Вытяжка из листьев гиома,
Газ-клапан,"183
"
Гайка,"9999
"
Гвоздь,"5000
"
Гиацинт,"1435
"
Гибкие жилы,"2797
"
Гибкий зубной нерв,"11090
"
Глаз Гарма,"1140
"
Глаз богомола,"998
"
Глаз злобоглаза,"1111
"
Глаз змеи,"1900
"
Глаз камнееда,"1700
"
Глаза ночной жужи,"3490
"
Гоблинский бумеранг,"1500
"
Голова снегобея,"1800
"
Голубая щелочь,"1200
"
Горный хрусталь,"1500
"
Гранат,"3990
"
Гранит,"1000
"
Гриб Волчанка,"991
"
Грибница,"200
"
Густой сок,"990
"
Диетическое зерно,
Дикий кристалл,"1680
"
Договор с Остином,"4799
"
Древесная шляпа,"500
"
Древесник,"1499
"
Душа пламени,"2000
"
Дьявольские рога,"10499
"
Дьявольские рожки,"166
"
Едкая кислота,"199
"
Елочные игрушки,"7500
"
Жаберный клапан,"1100
"
Жало осы,"850
"
Жало скорпиона,"1500
"
Жгучее щупальце,"3700
"
Желатин,"300
"
Желе,
Железное сердце,"1000
"
Железный хлам,"895
"
Жетон Чистильщика,
Жетон дуаноборца,
Живой лед,"1495
"
Желтая трава,"950
"
Заклинившая бомба,"4697
"
Закрученный рог,"8695
"
Защитная пластина,
Звездная пыль,"498
"
Зеленорост,"4433
"
Зеленая конфетная обертка,
Зеленая слизь,"989
"
Зеленая трава,"99
"
Зеленый мох,"170
"
Зеркальный амулет,"20000
"
Зеркальный осколок,"10000
"
Змеиная кожа,"75
"
Золотая фольга,
Золотое копыто,"1454
"
Золотой браслет,"45
"
Золотой зуб,"900
"
Золотой скарабей,"3660
"
Зубной нерв,"694
"
Игральные кости,"2025
"
Изумруд,"5499
"
Икра хваги,"1350
"
Индевень,"2191
"
Искристая слизь,"939
"
Истлевшие бинты,"501
"
Какао-порошок,
Каменная кожа,"324
"
Каменная кость,"695
"
Каменное сердце,"29000
"
Кандалы,"1400
"
Канифоль,"1000
"
Капля смолы,"320
"
Кварц,"10390
"
Кедровая шишка,"998
"
Киноварь,"3995
"
Клевер,"2800
"
Клешня краба,"150
"
Клешня скорпиона,"105
"
Клубень зеленороста,"900
"
Клубок паутины,"90
"
Клык оборотня,"100
"
Клык орка,"220
"
Клыки летучей мыши,
Коготь оборотня,"200
"
Копыто,
Корень мандрагоры,"390
"
Корень мункуса,"4060
"
Корень толстоцвета,"1895
"
Корешок Эльтана,"699
"
Кость скелета,"150
"
Костяное оперение,"1190
"
Красивое перо,"1999
"
Красная конфетная обертка,
Красный коралл,"9000
"
Красный цветок,"900
"
Кристалл крови,
Кровавый договор,"9299
"
Кровь нетопыря,"390
"
Кровь оборотня,"300
"
Крупица моземия,"220
"
Крупный желудь,"999
"
Крылья летучей мыши,
Крысиная шкура,"15
"
Крысиный хвост,"23
"
Кукум,
Куски кремния,"57
"
Кусок мяса,"70
"
Кучка старой пыли,"26996
"
Ледовый серпантин,"2733
"
Ледяное серебро,"20000
"
Летучий мешок,"970
"
Липкое волокно,"870
"
Лист толстоцвета,"995
"
Ловец зимних снов,
Лягушачья икра,"300
"
Манипулятор,"480
"
Маска шамана,"1750
"
Масленка,"320
"
Медальон жажды,"16900
"
Медальон страсти,"2400
"
Медная трубка,"995
"
Медный браслет,
Мембрана,"8990
"
Мерцающая пыльца,"100
"
Мерцающий мох,"470
"
Мискорианское масло,
Молодые одуванчики,
Морион,"10899
"
Морская тина,"499
"
Морской Орех,"900
"
Мука,
Муравьиная кислота,"399
"
Муравьиные усики,"450
"
Мухомор,
Мягкая шерсть,
Мясо варана,"799
"
Мясо древней улитки,"300
"
Мясо змеи,"250
"
Мясо одуванчика,"1800
"
Мясо островной улитки,"100
"
Мясо снежной жужи,"3332
"
Мясо улитки,
Мед ройлера,"180
"
Набор цветных контактов,"450
"
Нектар полевых цветов,
Нефрит,"6999
"
Обломок ножа,"50
"
Обыканская морошка,"4266
"
Огненная искра,"250
"
Огнеупорная чешуя,"22222
"
Опал,"1800
"
Оранжевая конфетная обертка,
Орбитула,"888
"
Осколок звезды,"3500
"
Осколок раковины,"84
"
Осколок хрустальной реки,"1050
"
Остролист,"1940
"
Острые жвалы,"230
"
Отловленный керок,
Ошейник вальдерстая,"5555
"
Панцирь железной жужи,"400
"
Панцирь жужи,"290
"
Панцирь мерцающей жужи,"4444
"
Панцирь северной жужи,"450
"
Панцирь снегобея,"28950
"
Панцирь ядовитого таракана,"490
"
Пеньковая трава,"100
"
Пепел огненного элементаля,"1990
"
Перепонка,"700
"
Перстень стража,"4600
"
Пещерная соль,"7500
"
Платье Алисы,"1940
"
Плоды Упрямки,"890
"
Позвонок,"36885
"
Полено,"200000
"
Ползучее корневище,"25000
"
Порох,"280
"
Портативная дубинка,"945
"
Посох сумрачного хаттлера,"8000
"
Прах,"82
"
Присоска,"60
"
Пристрелочный монокуляр,"9986
"
Прозрачные крылышки,"290
"
Проклятая кровь,"290
"
Пружинка,"3441
"
Пупырчатый мозг,"3200
"
Пучок синей шерсти,"25000
"
Пушинка Одуванчика,"280
"
Пыльца песчаной жужи,"105
"
Регулятор снегобея,"3499
"
Речная жемчужина,
Ржавая гайка,"10000
"
Ржавая пружина,"35899
"
Ржавый болт,"69995
"
Ржавый доспех,"1500
"
Рог Овна,"600
"
Рог слепой жужи,"77
"
Роговой шип,"36000
"
Розалия,"1400
"
Ройкин глаз,"8800
"
Росa,
Рубин,"4980
"
Сало,"989
"
Самоцветы,"4000
"
Сапфир,"5099
"
Сверкающая чешуйка,"90
"
Сверкающие елочные игрушки,
Северный мох,"120
"
Семена кленов,"6000
"
Семена морошки,"7800
"
Сера,
Сердце Террана,"5700
"
Сердце стужи,"140001
"
Серпантинный жук,"450
"
Серый песок,"2888
"
Синий диск,"1100
"
Синий мох,"895
"
Синильник,"3440
"
Синяя поганка,"724
"
Скорлупа,"2000
"
Скорлупа Желудя,
Сладкие специи,"699
"
Слеза Ауры,"19987777
"
Слипшиеся ракушки,"14090
"
Слюда,"720
"
Слюна вальдерстая,"2000
"
Снежная пыль,
Сонные шары,"1111
"
Сочная мякоть,"598
"
Старая кость,"250
"
Старая куртка Балдера,
Старинная монета,"54
"
Старое письмо Балдера,
Стланик,"3555
"
Стланиковая шишка,"1000
"
Стрелки часов,"1690
"
Сухожилия бафомета,"500
"
Сухой лист,
Сырые семечки,"999
"
Твердый сплав,"6400
"
Терморегулятор,"439
"
Тигровый глаз,"5625
"
Титановая пластина,
Титановые лезвия,"250
"
Ткань зомби,"15000
"
Токсичный гриб,"2765
"
Толстоцвет,"5944
"
Топаз,"3699
"
Тряпичная кукла,"2495
"
Тряпичное сердце,"8000
"
Тыква,"1100
"
Тяжелая вода,"1470
"
Усики бзыкалки,"100
"
Усики слепой жужи,"400
"
Феромоновая пыльца,"777
"
Фрагмент адских поводьев,
Хабульский корунд,"6250
"
Хауловые ребрышки,
Хвост Металлера,"1190
"
Хвост скорпиона,"200
"
Хвостик ройки,"2429
"
Хвоя стланика,"785
"
Хитиновая пластина,"250
"
Хитиновая трубка,"1990
"
Хмель,"650
"
Хоботок гнусмаса,"2100
"
Холодный песок,"1000
"
Хрустящий стебель,"995
"
Цветок Логруса,"4000
"
Цветы травы Джи,"1465
"
Целебный мох,"251
"
Частица тьмы,"179
"
Челюсть крылозуба,"1900
"
Череп,"299
"
Череп огра,"999
"
Черная жемчужина,"38995
"
Черная икра,"1700
"
Черная трава,"800
"
Черный коралл,"7499
"
Черный песок,"277
"
Шелковинка,
Шестеренка,"284
"
Шкура Хаула,
Шкура вальдерстая,"1800
"
Шкура волка,
Шкура гарма,"2210
"
Шкура голодного люпуса,"13000
"
Шкура грибоедки,"14900
"
Шкура кабана,"400
"
Шкура нижада,"5884
"
Шкура оборотня,"100
"
Шкура саламандры,"4000
"
Шкура свирепого люпуса,"13000
"
Шляпка гриба,"2300
"
